CD_MUN;NM_MUN; V06001 ; V06002 ; V06003 ; V06004 ; V06005 
2101301;Bacuri; 5.111 ; 16.200 ; 3 ; 1.187 ; 2.363.803 
2600906;Amaraji; 6.408 ; 18.199 ; 2 ; 1.187 ; 1.264.836 
2508505;Livramento; 2.417 ; 6.868 ; 2 ; 1.187 ; 1.251.077 
2501351;Assunção; 1.395 ; 4.143 ; 2 ; 1.187 ; 1.540.346 
2912707;Ibirapitanga; 8.359 ; 25.311 ; 3 ; 1.186 ; 1.773.801 
2304806;Granjeiro; 1.534 ; 4.827 ; 3 ; 1.186 ; 2.030.001 
2906204;Canarana; 8.304 ; 24.122 ; 2 ; 1.186 ; 2.696.512 
2614402;Solidão; 1.796 ; 5.196 ; 2 ; 1.186 ; 1.631.867 
2308104;Mauriti; 14.864 ; 45.496 ; 2 ; 1.185 ; 2.351.329 
2305209;Hidrolândia; 6.338 ; 17.845 ; 2 ; 1.185 ; 1.894.062 
2304004;Coreaú; 7.029 ; 20.934 ; 2 ; 1.184 ; 1.746.866 
2604700;Correntes; 5.159 ; 17.092 ; 3 ; 1.184 ; 1.701.151 
2108405;Peri Mirim; 3.782 ; 11.107 ; 3 ; 1.184 ; 5.121.215 
2516607;Tavares; 4.796 ; 14.097 ; 2 ; 1.184 ; 2.345.121 
2308609;Monsenhor Tabosa; 5.812 ; 17.101 ; 2 ; 1.183 ; 1.282.193 
2208858;Riacho Frio; 1.292 ; 4.165 ; 3 ; 1.183 ; 1.027.657 
2517407;Zabelê; 835 ; 2.220 ; 2 ; 1.183 ; 1.084.720 
2904852;Cabaceiras do Paraguaçu; 5.197 ; 16.529 ; 3 ; 1.183 ; 2.133.932 
2704104;Lagoa da Canoa; 5.935 ; 18.428 ; 2 ; 1.182 ; 1.392.365 
2602407;Brejão; 3.042 ; 9.055 ; 2 ; 1.182 ; 2.371.865 
2202251;Canavieira; 1.126 ; 3.414 ; 3 ; 1.182 ; 1.714.447 
2209153;Santa Cruz dos Milagres; 1.181 ; 3.435 ; 2 ; 1.181 ; 633.723 
2203420;Domingos Mourão; 1.318 ; 4.074 ; 3 ; 1.181 ; 1.732.046 
2210383;São Miguel da Baixa Grande; 807 ; 2.269 ; 2 ; 1.181 ; 939.049 
2108801;Pirapemas; 5.235 ; 17.681 ; 4 ; 1.180 ; 2.076.452 
2924678;Piraí do Norte; 3.218 ; 10.940 ; 3 ; 1.180 ; 4.564.280 
2204154;Francisco Macedo; 1.020 ; 2.929 ; 2 ; 1.179 ; 800.230 
2604403;Chã de Alegria; 4.384 ; 12.983 ; 2 ; 1.179 ; 1.004.899 
2309201;Nova Olinda; 5.174 ; 15.379 ; 2 ; 1.179 ; 1.556.561 
2112803;Viana; 15.759 ; 51.214 ; 3 ; 1.179 ; 1.872.749 
2202406;Capitão de Campos; 3.620 ; 11.084 ; 2 ; 1.179 ; 1.331.099 
2910859;Filadélfia; 6.075 ; 17.895 ; 2 ; 1.178 ; 1.910.934 
2932457;Umburanas; 4.476 ; 13.590 ; 2 ; 1.178 ; 3.342.799 
2209708;São Francisco do Piauí; 2.082 ; 5.392 ; 2 ; 1.178 ; 881.696 
2504900;Cruz do Espírito Santo; 5.362 ; 17.089 ; 2 ; 1.178 ; 796.777 
2109809;Santa Helena; 11.015 ; 41.496 ; 5 ; 1.177 ; 2.001.913 
2805000;Pedra Mole; 957 ; 2.778 ; 2 ; 1.177 ; 1.036.831 
2930402;Serra Preta; 5.831 ; 17.970 ; 3 ; 1.177 ; 787.703 
2516151;Sossêgo; 1.160 ; 3.345 ; 2 ; 1.176 ; 1.040.354 
2209955;São João da Varjota; 1.470 ; 4.380 ; 2 ; 1.176 ; 1.226.152 
2929354;São José da Vitória; 2.061 ; 5.314 ; 2 ; 1.176 ; 931.742 
1301803;Ipixuna; 4.789 ; 23.946 ; 6 ; 1.176 ; 1.578.791 
